sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,start,end,event,two_year_recid
Female,44,25 - 45,Caucasian,0,5,0,0,1,-6.0,M,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,433,0,0
Male,21,Less than 25,Caucasian,0,2,0,0,0,-1.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,5,Medium,0,211,1,1
Male,28,25 - 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,968,0,0
Male,28,25 - 45,Caucasian,0,1,0,0,2,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,1143,0,0
Male,24,Less than 25,African-American,0,3,0,0,0,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,0,5,1,1
Male,28,25 - 45,African-American,0,2,0,0,0,0.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,966,0,0
Male,53,Greater than 45,Caucasian,0,1,0,0,4,0.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,129,0,0
Male,47,Greater than 45,Hispanic,0,5,0,0,1,-1.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,183,1100,0,0
Male,20,Less than 25,African-American,0,3,0,0,1,-24.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,736,0,0
Male,21,Less than 25,African-American,0,6,0,0,0,-6.0,M,0,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,0,848,0,0
Male,30,25 - 45,Other,0,2,0,0,1,-1.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,1,131,1,1
Male,37,25 - 45,Caucasian,0,1,0,0,1,-1.0,M,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,479,1,1
Male,60,Greater than 45,Hispanic,0,1,0,0,1,-18.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1060,0,0
Male,26,25 - 45,Hispanic,0,2,0,0,1,-1.0,M,1,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,106,1,1
Male,30,25 - 45,Caucasian,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,1056,0,0
Male,26,25 - 45,Caucasian,0,8,0,0,2,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,4,Low,0,27,1,1
Female,26,25 - 45,African-American,0,9,0,0,5,-1.0,F,1,1,Risk of Recidivism,9,High,Risk of Violence,6,Medium,6,100,1,1
Male,21,Less than 25,Hispanic,0,5,0,0,0,-1.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,5,Medium,1,936,0,0
Female,39,25 - 45,African-American,0,2,0,0,1,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,1131,0,0
Male,30,25 - 45,Other,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,5,1131,0,0
Male,44,25 - 45,African-American,0,5,0,0,2,-1.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,1,618,0,0
Male,45,Greater than 45,Caucasian,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,2,936,0,0
Male,30,25 - 45,African-American,0,1,0,0,1,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,684,0,0
Male,38,25 - 45,Asian,0,1,0,0,2,0.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,8,850,0,0
Male,23,Less than 25,Caucasian,0,5,0,0,6,-1.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,0,411,1,1
Male,37,25 - 45,African-American,0,4,0,0,1,-139.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,0,905,0,0
Male,46,Greater than 45,Asian,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,827,0,0
Male,42,25 - 45,African-American,0,1,0,0,0,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,833,0,0
Female,20,Less than 25,African-American,0,8,0,0,0,32.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,7,Medium,0,32,1,1
Male,65,Greater than 45,Caucasian,0,1,0,0,2,-84.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,991,0,0
Male,54,Greater than 45,Caucasian,0,2,0,0,4,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,2,1145,0,0
Male,47,Greater than 45,African-American,0,1,0,0,7,-1.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,349,1,1
Male,39,25 - 45,African-American,0,9,0,0,5,-49.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,6,Medium,0,92,1,1
Male,26,25 - 45,Caucasian,0,7,0,0,0,-3.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,0,56,1,1
Male,29,25 - 45,Caucasian,0,10,0,0,7,-1.0,M,1,1,Risk of Recidivism,10,High,Risk of Violence,7,Medium,0,50,1,1
Male,51,Greater than 45,Caucasian,0,1,0,0,7,-1.0,F,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,14,32,1,1
Male,44,25 - 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1124,0,0
Male,49,Greater than 45,Caucasian,0,5,0,0,12,-24.0,M,0,0,Risk of Recidivism,5,Medium,Risk of Violence,1,Low,0,52,0,0
Male,22,Less than 25,African-American,0,8,0,0,0,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,9,High,0,232,1,1
Male,32,25 - 45,African-American,0,4,0,0,4,-1.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,231,1,1
Male,27,25 - 45,African-American,0,3,0,0,0,-1.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,774,0,0
Male,30,25 - 45,Caucasian,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,919,0,0
Male,20,Less than 25,African-American,2,8,0,0,2,-56.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,10,High,0,676,1,1
Male,28,25 - 45,Hispanic,0,7,0,0,11,0.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,7,Medium,1,651,0,0
Male,45,Greater than 45,Other,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,751,0,0
Female,51,Greater than 45,Caucasian,0,5,0,0,5,0.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,33,963,0,0
Male,27,25 - 45,African-American,0,2,0,0,4,-1.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,227,1,1
Male,32,25 - 45,African-American,0,7,0,0,0,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,16,28,1,1
Male,43,25 - 45,African-American,0,3,0,0,2,-1.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,5,449,0,0
Male,37,25 - 45,Caucasian,0,2,0,0,2,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,962,0,0
Male,26,25 - 45,African-American,0,4,0,0,0,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,94,0,1
Male,32,25 - 45,African-American,1,10,2,0,17,84.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,10,High,0,84,1,1
Male,26,25 - 45,African-American,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,953,0,0
Male,32,25 - 45,Other,0,3,0,0,4,0.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,1120,0,0
Male,39,25 - 45,Hispanic,0,4,0,0,3,-21.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,1,Low,0,1038,0,0
Female,58,Greater than 45,African-American,0,1,0,0,4,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,848,0,0
Male,33,25 - 45,Other,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,1117,0,0
Female,22,Less than 25,Caucasian,0,3,0,1,1,-22.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,0,883,0,0
Male,26,25 - 45,African-American,0,5,0,0,6,-105.0,M,1,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,0,250,1,1
Male,21,Less than 25,African-American,2,10,0,1,2,-1.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,139,158,1,1
Male,31,25 - 45,Caucasian,0,7,0,0,0,0.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,4,Low,35,278,1,1
Male,43,25 - 45,Caucasian,0,1,0,0,2,-10.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,869,0,0
Male,23,Less than 25,African-American,0,7,0,0,0,-1.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,0,1057,0,0
Male,25,25 - 45,Caucasian,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,4,Low,0,766,0,0
Male,22,Less than 25,African-American,0,9,0,0,6,-1.0,F,0,0,Risk of Recidivism,9,High,Risk of Violence,9,High,0,405,0,0
Male,30,25 - 45,African-American,0,4,0,0,6,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,133,1168,0,0
Male,25,25 - 45,African-American,0,9,3,1,15,-1.0,F,1,1,Risk of Recidivism,9,High,Risk of Violence,7,Medium,1,147,1,1
Male,20,Less than 25,African-American,0,7,0,1,0,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,0,3,1,1
Male,39,25 - 45,Hispanic,0,1,0,0,0,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,934,0,0
Male,31,25 - 45,African-American,0,5,0,0,3,716.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,0,464,1,1
Male,33,25 - 45,African-American,0,2,0,0,1,-1.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,2,121,1,1
Male,59,Greater than 45,African-American,0,4,0,0,1,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,1,Low,0,1111,0,0
Male,21,Less than 25,Hispanic,0,9,0,2,1,-8.0,F,0,0,Risk of Recidivism,9,High,Risk of Violence,8,High,0,938,0,0
Male,53,Greater than 45,African-American,0,6,0,0,8,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,1,Low,4,407,1,1
Male,34,25 - 45,Caucasian,0,2,0,0,2,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,1139,0,0
Male,36,25 - 45,Caucasian,0,4,0,0,6,-25.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,1078,0,0
Male,23,Less than 25,African-American,0,3,0,0,0,-1.0,F,0,0,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,365,0,0
Male,32,25 - 45,African-American,0,8,0,0,2,0.0,M,0,0,Risk of Recidivism,8,High,Risk of Violence,5,Medium,109,1166,0,0
Male,32,25 - 45,African-American,0,9,0,0,11,-1.0,M,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,1,111,0,1
Female,66,Greater than 45,Caucasian,0,1,0,0,1,-46.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1068,0,0
Male,66,Greater than 45,Other,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,757,0,0
Female,24,Less than 25,Caucasian,0,6,0,0,0,-1.0,M,0,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,23,1047,0,0
Male,30,25 - 45,African-American,0,10,0,0,7,-1.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,7,Medium,631,903,1,1
Male,28,25 - 45,African-American,0,7,0,0,1,-1.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,1,1113,0,0
Male,43,25 - 45,Caucasian,0,5,0,0,4,0.0,F,1,1,Risk of Recidivism,5,Medium,Risk of Violence,2,Low,2,549,1,1
Male,35,25 - 45,African-American,0,2,0,0,3,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,10,825,0,0
Male,19,Less than 25,African-American,3,8,0,0,2,-21.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,9,High,0,48,0,1
Male,22,Less than 25,African-American,0,6,0,0,1,-1.0,M,1,1,Risk of Recidivism,6,Medium,Risk of Violence,7,Medium,3,70,1,1
Male,29,25 - 45,African-American,0,1,0,0,0,0.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,1167,0,0
Female,23,Less than 25,African-American,0,4,0,0,0,-1.0,M,0,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,1,776,0,0
Male,62,Greater than 45,African-American,0,9,0,0,15,-36.0,F,0,0,Risk of Recidivism,9,High,Risk of Violence,9,High,0,911,0,0
Female,33,25 - 45,Caucasian,0,2,0,0,0,-2.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,47,0,0
Male,35,25 - 45,African-American,0,4,0,0,1,0.0,M,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,1156,0,0
Male,53,Greater than 45,Caucasian,0,1,0,0,0,0.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,843,0,0
Male,59,Greater than 45,Caucasian,0,6,0,0,17,-25.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,1,Low,0,165,1,1
Female,48,Greater than 45,Caucasian,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1086,0,0
Female,33,25 - 45,African-American,0,2,0,0,1,-10.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,1152,0,0
Male,44,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,1068,0,0
Male,31,25 - 45,Caucasian,0,2,0,0,10,-18.0,F,1,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,64,1,1
Male,28,25 - 45,African-American,0,4,0,1,2,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,0,287,0,1
Male,56,Greater than 45,Other,0,1,0,0,9,-147.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,771,0,0
Male,51,Greater than 45,Hispanic,0,1,0,0,1,-18.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,762,0,0
Male,23,Less than 25,African-American,0,7,0,0,0,0.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,5,Medium,5,5,1,1
Male,21,Less than 25,Hispanic,0,7,0,0,0,0.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,0,129,0,0
Male,26,25 - 45,Caucasian,0,5,0,0,0,0.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,0,1185,0,0
Male,22,Less than 25,African-American,0,9,3,0,3,0.0,F,0,0,Risk of Recidivism,9,High,Risk of Violence,10,High,0,915,0,0
Male,29,25 - 45,African-American,0,2,0,0,0,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,3,Low,0,1101,0,0
Male,20,Less than 25,African-American,0,9,1,1,2,-1.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,7,Medium,1,167,1,1
Male,44,25 - 45,Caucasian,0,1,0,0,0,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,870,0,0
Male,41,25 - 45,African-American,0,5,0,0,2,-1.0,F,0,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,14,953,0,0
Female,28,25 - 45,African-American,0,4,0,1,4,0.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,875,0,0
Male,27,25 - 45,Caucasian,0,6,0,0,1,-1.0,M,1,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,21,115,0,1
Male,31,25 - 45,Caucasian,0,3,0,0,7,-1.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,753,0,0
Male,23,Less than 25,Caucasian,0,8,0,0,5,-105.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,5,Medium,0,298,1,1
Male,33,25 - 45,African-American,0,7,0,0,16,-243.0,M,1,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,0,172,1,1
Male,26,25 - 45,African-American,0,3,0,0,3,-21.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,554,1,1
Male,20,Less than 25,African-American,0,4,0,2,0,-1.0,F,1,1,Risk of Recidivism,4,Low,Risk of Violence,7,Medium,0,117,0,0
Male,55,Greater than 45,Caucasian,0,1,0,0,2,-1.0,M,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,37,1,1
Male,36,25 - 45,African-American,0,8,0,0,0,0.0,F,0,0,Risk of Recidivism,8,High,Risk of Violence,2,Low,1,1129,0,0
Male,48,Greater than 45,Other,0,1,0,0,4,-1.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,3,125,1,1
Male,22,Less than 25,Other,0,4,0,0,5,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,5,Medium,1,131,1,1
Male,23,Less than 25,African-American,1,9,0,0,1,-1.0,M,0,0,Risk of Recidivism,9,High,Risk of Violence,9,High,4,961,0,0
Male,34,25 - 45,African-American,0,10,2,1,19,-1.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,6,Medium,4,276,1,1
Female,59,Greater than 45,Caucasian,0,1,0,0,1,-21.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,965,0,0
Male,37,25 - 45,Caucasian,0,2,0,0,0,-4.0,F,1,1,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,85,1,1
Female,28,25 - 45,Caucasian,0,4,0,0,0,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,0,627,1,1
Male,20,Less than 25,African-American,1,10,0,1,1,-47.0,F,1,0,Risk of Recidivism,10,High,Risk of Violence,9,High,0,55,1,1
Male,31,25 - 45,African-American,0,2,0,0,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,4,Low,0,911,0,0
Female,38,25 - 45,African-American,0,10,0,0,14,-1.0,F,1,1,Risk of Recidivism,10,High,Risk of Violence,3,Low,4,29,0,1
Male,33,25 - 45,African-American,0,1,0,0,0,-4.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,155,1,1
Male,27,25 - 45,African-American,0,8,0,0,3,-1.0,F,1,1,Risk of Recidivism,8,High,Risk of Violence,6,Medium,0,50,1,1
Male,25,25 - 45,Caucasian,0,4,0,0,2,0.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,1,119,1,1
Female,42,25 - 45,African-American,0,2,0,0,2,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,857,0,0
Male,22,Less than 25,African-American,0,8,0,0,3,-1.0,F,1,1,Risk of Recidivism,8,High,Risk of Violence,5,Medium,25,66,1,1
Male,21,Less than 25,Other,0,6,0,0,0,-1.0,F,0,0,Risk of Recidivism,6,Medium,Risk of Violence,8,High,1,1127,0,0
Male,57,Greater than 45,Caucasian,0,7,0,0,15,-32.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,3,Low,0,920,0,0
Male,45,Greater than 45,Caucasian,0,5,0,0,1,0.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,28,412,0,1
Female,21,Less than 25,African-American,0,3,0,0,1,-11.0,M,1,0,Risk of Recidivism,3,Low,Risk of Violence,4,Low,0,260,1,1
Male,52,Greater than 45,Caucasian,0,1,0,0,2,-1.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,1058,0,0
Male,29,25 - 45,Caucasian,0,3,0,0,0,-1.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,1044,0,0
Female,37,25 - 45,African-American,0,4,0,0,0,0.0,M,0,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,5,1163,0,0
Male,34,25 - 45,Caucasian,0,2,0,1,0,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,642,0,0
Male,53,Greater than 45,African-American,0,1,0,0,0,0.0,M,1,1,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,151,1,1
Female,30,25 - 45,African-American,0,8,0,0,8,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,3,Low,0,590,1,1
Male,35,25 - 45,Hispanic,0,3,0,0,0,-7.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,460,0,0
Male,28,25 - 45,Caucasian,0,4,0,0,1,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,3,1047,0,0
Male,21,Less than 25,African-American,0,8,0,0,1,-1.0,F,0,0,Risk of Recidivism,8,High,Risk of Violence,9,High,0,1067,0,0
Male,22,Less than 25,African-American,0,7,0,0,1,13.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,0,13,0,0
Male,42,25 - 45,Caucasian,0,3,0,0,1,-1.0,M,1,1,Risk of Recidivism,3,Low,Risk of Violence,2,Low,0,142,1,1
Male,26,25 - 45,African-American,0,4,0,0,3,0.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,2,Low,0,21,1,1
Male,54,Greater than 45,African-American,0,1,0,0,9,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,825,0,0
Male,39,25 - 45,Other,0,2,0,0,1,-1.0,F,1,1,Risk of Recidivism,2,Low,Risk of Violence,1,Low,0,79,0,1
Male,30,25 - 45,African-American,2,9,0,0,20,0.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,381,405,0,1
Female,26,25 - 45,African-American,0,6,0,0,1,-1.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,4,Low,27,184,1,1
Male,41,25 - 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,815,0,0
Male,23,Less than 25,Caucasian,1,5,0,1,5,0.0,M,1,0,Risk of Recidivism,5,Medium,Risk of Violence,4,Low,54,129,0,1
Male,43,25 - 45,Caucasian,0,2,0,0,1,-1.0,F,1,1,Risk of Recidivism,2,Low,Risk of Violence,1,Low,64,237,0,1
Male,22,Less than 25,African-American,0,3,0,0,0,-1.0,M,1,1,Risk of Recidivism,3,Low,Risk of Violence,5,Medium,0,15,1,1
Female,27,25 - 45,Caucasian,0,3,0,0,6,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,0,169,1,1
Female,42,25 - 45,African-American,0,3,0,0,2,-1.0,M,0,0,Risk of Recidivism,3,Low,Risk of Violence,1,Low,34,1162,0,0
Male,25,25 - 45,African-American,0,6,0,0,8,0.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,29,90,1,1
Male,49,Greater than 45,African-American,0,2,0,0,4,0.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,36,788,0,0
Male,26,25 - 45,African-American,1,9,0,0,7,-43.0,F,1,0,Risk of Recidivism,9,High,Risk of Violence,5,Medium,0,553,1,1
Male,52,Greater than 45,Caucasian,0,1,0,0,1,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,24,892,0,0
Female,60,Greater than 45,Caucasian,0,1,0,0,2,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,858,0,0
Female,23,Less than 25,African-American,0,6,0,0,0,-1.0,M,0,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,0,1115,0,0
Male,30,25 - 45,African-American,0,7,0,0,2,-1.0,M,0,0,Risk of Recidivism,7,Medium,Risk of Violence,6,Medium,0,340,0,0
Male,48,Greater than 45,African-American,0,6,0,0,9,0.0,F,1,0,Risk of Recidivism,6,Medium,Risk of Violence,5,Medium,4,372,1,1
Male,32,25 - 45,African-American,0,7,0,0,2,0.0,F,1,1,Risk of Recidivism,7,Medium,Risk of Violence,5,Medium,1,304,1,1
Male,28,25 - 45,Hispanic,0,3,0,1,3,-1.0,F,1,0,Risk of Recidivism,3,Low,Risk of Violence,3,Low,1,516,1,1
Male,24,Less than 25,African-American,0,7,0,0,5,-1.0,F,1,0,Risk of Recidivism,7,Medium,Risk of Violence,4,Low,0,259,1,1
Female,26,25 - 45,African-American,0,5,0,0,3,107.0,F,1,0,Risk of Recidivism,5,Medium,Risk of Violence,3,Low,0,107,1,1
Male,22,Less than 25,African-American,0,5,0,0,3,20.0,F,1,1,Risk of Recidivism,5,Medium,Risk of Violence,8,High,0,20,1,1
Male,44,25 - 45,African-American,0,2,0,0,2,-1.0,F,0,0,Risk of Recidivism,2,Low,Risk of Violence,1,Low,1,1141,0,0
Male,32,25 - 45,Caucasian,0,4,0,0,3,-1.0,F,0,0,Risk of Recidivism,4,Low,Risk of Violence,4,Low,85,613,0,0
Female,27,25 - 45,African-American,0,2,0,0,1,-1.0,M,0,0,Risk of Recidivism,2,Low,Risk of Violence,2,Low,0,923,0,0
Male,52,Greater than 45,African-American,0,4,0,0,15,0.0,M,1,0,Risk of Recidivism,4,Low,Risk of Violence,3,Low,1,334,0,1
Male,61,Greater than 45,Caucasian,0,2,0,0,3,0.0,M,1,1,Risk of Recidivism,2,Low,Risk of Violence,1,Low,1,28,0,1
Male,69,Greater than 45,African-American,0,1,0,0,3,0.0,M,0,0,Risk of Recidivism,1,Low,Risk of Violence,2,Low,0,968,0,0
Male,51,Greater than 45,Other,0,1,0,0,2,-1.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,33,961,0,0
Female,21,Less than 25,Caucasian,0,6,0,0,1,-1.0,F,0,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,1,417,0,0
Male,31,25 - 45,Caucasian,1,6,0,0,2,-1.0,M,1,0,Risk of Recidivism,6,Medium,Risk of Violence,6,Medium,3,391,1,1
Male,19,Less than 25,African-American,0,4,2,0,3,-1.0,F,1,0,Risk of Recidivism,4,Low,Risk of Violence,7,Medium,29,192,1,1
Male,24,Less than 25,African-American,0,9,5,0,12,0.0,M,1,1,Risk of Recidivism,9,High,Risk of Violence,9,High,0,7,1,1
Male,24,Less than 25,Caucasian,0,8,0,0,3,-1.0,F,1,0,Risk of Recidivism,8,High,Risk of Violence,6,Medium,5,204,1,1
Male,57,Greater than 45,Hispanic,0,1,0,0,3,-2.0,F,0,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,0,921,0,0
Male,30,25 - 45,Caucasian,0,7,0,0,6,-1.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,8,High,6,969,0,0
Male,43,25 - 45,African-American,0,1,0,0,4,-1.0,F,1,0,Risk of Recidivism,1,Low,Risk of Violence,1,Low,1,83,1,1
Male,24,Less than 25,African-American,0,7,0,1,4,-1.0,F,0,0,Risk of Recidivism,7,Medium,Risk of Violence,4,Low,4,232,0,0
