decile1b,decile3,decile1,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,tier,gender
b'08',b'06',b'08',3.0,30.0,4.0,0.71,67.0,0.25,1.0,2.0,-60.0,0.0,3.0,b'female'
b'04',b'05',b'05',1.0,37.0,3.7,-0.18,61.0,-0.2,1.0,2.0,-54.0,0.0,4.0,b'male'
b'05',b'08',b'05',2.0,36.0,3.2,-0.13,69.0,0.66,1.0,4.0,-62.0,0.0,2.0,b'male'
b'10',b'10',b'10',4.0,36.0,3.0,1.37,69.0,1.36,1.0,4.0,-62.0,0.0,5.0,b'female'
b'05',b'06',b'06',3.0,39.0,3.2,0.01,68.0,0.04,1.0,3.0,-61.0,0.0,3.0,b'male'
b'03',b'02',b'03',1.0,36.0,3.0,-0.56,60.0,-1.06,1.0,2.0,-53.0,0.0,4.0,b'male'
b'06',b'03',b'06',1.0,38.0,3.9,0.2,69.0,-0.77,1.0,3.0,-62.0,0.0,4.0,b'male'
b'01',b'01',b'01',1.0,32.7,2.8,-2.5,43.0,-1.53,1.0,4.0,-36.0,0.0,4.0,b'female'
b'09',b'09',b'09',3.0,28.5,3.6,1.04,63.0,1.07,1.0,2.0,-61.0,0.0,3.0,b'female'
b'04',b'05',b'04',4.0,36.0,3.4,-0.29,67.0,-0.22,2.0,3.0,-60.0,1.0,5.0,b'male'
b'03',b'03',b'03',4.0,44.0,3.7,-0.66,67.0,-0.53,1.0,4.0,-60.0,0.0,5.0,b'male'
b'07',b'08',b'07',2.0,29.0,2.5,0.32,64.0,0.61,1.0,4.0,-57.0,0.0,2.0,b'male'
b'09',b'08',b'09',3.0,33.0,3.2,1.1,69.0,0.76,1.0,4.0,-62.0,0.0,3.0,b'male'
b'09',b'10',b'09',5.0,36.0,3.4,1.34,68.0,1.76,1.0,4.0,-61.0,0.0,6.0,b'female'
b'09',b'09',b'09',1.0,36.0,4.0,0.99,69.0,0.88,1.0,4.0,-62.0,0.0,4.0,b'female'
b'03',b'02',b'03',3.0,31.0,3.4,-0.54,69.0,-1.03,1.0,4.0,-62.0,0.0,3.0,b'female'
b'01',b'02',b'01',3.0,27.0,2.7,-1.9,67.0,-1.27,1.0,4.0,-60.0,0.0,3.0,b'female'
b'04',b'04',b'04',3.0,36.0,3.4,-0.29,63.0,-0.5,1.0,3.0,-56.0,0.0,3.0,b'male'
b'10',b'10',b'10',3.0,48.0,3.9,2.02,69.0,2.52,1.0,3.0,-62.0,0.0,3.0,b'female'
b'02',b'05',b'03',3.0,36.0,2.8,-0.73,69.0,-0.13,1.0,4.0,-62.0,0.0,3.0,b'male'
b'02',b'04',b'02',1.0,36.0,3.1,-0.83,69.0,-0.43,1.0,4.0,-62.0,0.0,4.0,b'female'
b'10',b'09',b'10',4.0,39.0,3.8,1.57,64.0,1.07,1.0,2.0,-57.0,0.0,5.0,b'female'
b'07',b'07',b'07',3.0,37.0,2.8,0.34,67.0,0.39,1.0,3.0,-60.0,0.0,3.0,b'male'
b'06',b'07',b'07',1.0,37.0,3.3,0.32,69.0,0.53,1.0,3.0,-62.0,0.0,4.0,b'female'
b'08',b'08',b'08',6.0,35.0,2.8,0.71,66.0,0.75,1.0,4.0,-59.0,0.0,1.0,b'male'
b'09',b'09',b'09',1.0,41.0,3.8,0.97,56.0,1.26,1.0,3.0,-49.0,0.0,4.0,b'male'
b'06',b'08',b'06',6.0,23.3,3.5,0.21,68.0,0.5,1.0,2.0,-61.0,0.0,1.0,b'male'
b'02',b'04',b'03',1.0,33.5,4.0,-0.76,70.0,-0.31,1.0,3.0,-63.0,0.0,4.0,b'female'
b'04',b'04',b'04',4.0,36.0,3.3,-0.38,69.0,-0.41,1.0,4.0,-62.0,0.0,5.0,b'male'
b'03',b'02',b'03',4.0,30.5,2.5,-0.55,68.0,-0.9,1.0,4.0,-61.0,0.0,5.0,b'male'
b'08',b'09',b'08',3.0,39.0,2.6,0.68,61.0,1.07,2.0,2.0,-59.0,1.0,3.0,b'female'
b'10',b'10',b'10',4.0,39.0,4.0,1.67,66.0,1.58,1.0,3.0,-59.0,0.0,5.0,b'female'
b'08',b'04',b'08',1.0,42.0,3.0,0.8,67.0,-0.34,2.0,3.0,-60.0,1.0,4.0,b'male'
b'01',b'03',b'01',1.0,40.0,3.9,-1.35,70.0,-0.69,1.0,3.0,-63.0,0.0,4.0,b'female'
b'03',b'03',b'03',4.0,34.0,2.7,-0.52,64.0,-0.62,2.0,2.0,-57.0,1.0,5.0,b'male'
b'07',b'06',b'07',3.0,32.0,3.6,0.4,68.0,0.04,1.0,5.0,-61.0,0.0,3.0,b'male'
b'10',b'10',b'10',3.0,35.0,3.2,2.08,67.0,2.03,1.0,4.0,-60.0,0.0,3.0,b'female'
b'04',b'05',b'04',1.0,43.0,3.6,-0.28,67.0,-0.07,1.0,4.0,-61.0,0.0,4.0,b'male'
b'07',b'07',b'07',3.0,33.0,3.0,0.47,69.0,0.28,1.0,4.0,-62.0,0.0,3.0,b'male'
b'09',b'08',b'09',1.0,40.0,3.6,0.99,69.0,0.87,1.0,4.0,-62.0,0.0,4.0,b'male'
b'09',b'06',b'09',4.0,42.0,3.5,1.0,69.0,0.03,1.0,4.0,-62.0,0.0,5.0,b'female'
b'08',b'08',b'08',4.0,32.0,3.8,0.61,69.0,0.73,1.0,4.0,-62.0,0.0,5.0,b'female'
b'08',b'07',b'08',5.0,47.0,3.8,0.9,69.0,0.54,1.0,3.0,-62.0,0.0,6.0,b'female'
b'04',b'02',b'04',4.0,36.0,3.1,-0.34,69.0,-1.06,1.0,5.0,-62.0,0.0,5.0,b'male'
b'06',b'05',b'06',4.0,44.0,3.7,0.08,69.0,0.01,1.0,4.0,-62.0,0.0,5.0,b'male'
b'03',b'02',b'04',3.0,39.0,2.6,-0.44,62.0,-0.9,1.0,5.0,-55.0,0.0,3.0,b'male'
b'07',b'07',b'07',5.0,42.0,3.7,0.61,68.0,0.28,1.0,2.0,-61.0,0.0,6.0,b'male'
b'08',b'07',b'09',3.0,33.5,2.8,0.86,61.0,0.36,1.0,3.0,-59.0,0.0,3.0,b'male'
b'10',b'10',b'10',1.0,36.0,3.9,1.92,69.0,1.44,1.0,4.0,-62.0,0.0,4.0,b'female'
b'10',b'10',b'10',4.0,47.0,3.5,1.87,62.0,1.68,2.0,3.0,-55.0,1.0,5.0,b'male'
b'05',b'07',b'05',1.0,34.5,3.6,-0.03,69.0,0.33,1.0,4.0,-62.0,0.0,4.0,b'female'
b'07',b'07',b'07',1.0,45.0,3.2,0.43,67.0,0.47,1.0,4.0,-60.0,0.0,4.0,b'male'
b'07',b'06',b'07',3.0,36.0,3.0,0.33,67.0,0.03,1.0,3.0,-65.0,0.0,3.0,b'male'
b'06',b'05',b'06',3.0,38.0,2.5,0.16,65.0,-0.27,1.0,3.0,-58.0,0.0,3.0,b'male'
b'01',b'01',b'02',2.0,30.5,2.9,-1.1,65.0,-2.25,1.0,4.0,-63.0,0.0,2.0,b'female'
b'02',b'05',b'03',4.0,46.0,3.3,-0.76,66.0,-0.17,1.0,4.0,-59.0,0.0,5.0,b'male'
b'08',b'06',b'08',3.0,39.0,3.0,0.82,68.0,0.19,1.0,3.0,-61.0,0.0,3.0,b'male'
b'03',b'02',b'03',3.0,39.0,3.2,-0.58,69.0,-0.91,1.0,2.0,-62.0,0.0,3.0,b'female'
b'08',b'08',b'08',4.0,47.0,3.6,0.6,68.0,0.83,1.0,5.0,-61.0,0.0,5.0,b'male'
b'09',b'07',b'09',4.0,37.0,2.9,1.02,49.0,0.43,2.0,3.0,-42.0,1.0,5.0,b'male'
b'07',b'06',b'07',5.0,42.0,3.7,0.51,68.0,0.06,1.0,4.0,-61.0,0.0,6.0,b'female'
b'07',b'05',b'07',1.0,40.5,2.6,0.49,58.0,-0.2,2.0,4.0,-51.0,1.0,4.0,b'male'
b'04',b'04',b'04',3.0,38.5,3.0,-0.31,65.0,-0.41,1.0,3.0,-58.0,0.0,3.0,b'male'
b'04',b'05',b'04',3.0,30.0,2.9,-0.34,67.0,-0.22,1.0,4.0,-60.0,0.0,3.0,b'male'
b'06',b'05',b'07',2.0,27.0,3.1,0.26,66.0,-0.27,1.0,3.0,-59.0,0.0,2.0,b'female'
b'08',b'07',b'08',1.0,45.0,3.3,0.7,61.0,0.41,1.0,4.0,-54.0,0.0,4.0,b'male'
b'03',b'03',b'04',3.0,36.0,2.7,-0.5,63.0,-0.82,2.0,3.0,-61.0,1.0,3.0,b'male'
b'10',b'10',b'10',4.0,41.0,3.6,1.81,61.0,1.67,1.0,4.0,-54.0,0.0,5.0,b'male'
b'05',b'06',b'05',4.0,44.0,3.7,-0.03,66.0,0.17,1.0,5.0,-59.0,0.0,5.0,b'male'
b'07',b'08',b'07',4.0,38.0,3.6,0.5,69.0,0.58,1.0,3.0,-62.0,0.0,5.0,b'female'
b'07',b'05',b'07',2.0,28.7,3.2,0.36,66.0,-0.18,1.0,4.0,-59.0,0.0,2.0,b'male'
b'05',b'03',b'05',4.0,34.0,3.8,-0.16,51.0,-0.7,1.0,3.0,-44.0,0.0,5.0,b'male'
b'01',b'01',b'01',1.0,31.0,2.9,-2.79,69.0,-2.54,1.0,2.0,-62.0,0.0,4.0,b'female'
b'03',b'03',b'04',1.0,41.0,3.3,-0.47,66.0,-0.57,1.0,3.0,-59.0,0.0,4.0,b'female'
b'05',b'03',b'05',1.0,46.0,3.4,-0.03,67.0,-0.69,1.0,3.0,-60.0,0.0,4.0,b'male'
b'07',b'06',b'07',3.0,35.0,3.2,0.46,69.0,0.07,1.0,4.0,-62.0,0.0,3.0,b'male'
b'07',b'08',b'07',3.0,36.0,3.2,0.51,49.0,0.66,2.0,2.0,-42.0,1.0,3.0,b'female'
b'10',b'10',b'10',2.0,32.5,3.4,1.81,67.0,2.09,1.0,4.0,-60.0,0.0,2.0,b'female'
b'06',b'05',b'06',3.0,36.0,2.5,0.07,69.0,-0.04,1.0,4.0,-62.0,0.0,3.0,b'male'
b'08',b'08',b'08',1.0,34.0,3.2,0.77,67.0,0.56,1.0,4.0,-60.0,0.0,4.0,b'male'
b'10',b'09',b'10',1.0,30.0,3.3,1.33,62.0,1.14,1.0,3.0,-55.0,0.0,4.0,b'male'
b'06',b'07',b'07',1.0,40.0,3.0,0.3,58.0,0.41,1.0,4.0,-51.0,0.0,4.0,b'male'
b'02',b'01',b'02',5.0,32.0,3.3,-1.01,67.0,-1.64,1.0,2.0,-60.0,0.0,6.0,b'male'
b'04',b'05',b'05',4.0,37.0,3.9,-0.24,69.0,-0.14,1.0,4.0,-62.0,0.0,5.0,b'male'
b'02',b'02',b'03',1.0,39.0,3.0,-0.76,52.0,-1.18,1.0,5.0,-45.0,0.0,4.0,b'male'
b'07',b'03',b'08',2.0,26.0,3.2,0.53,59.0,-0.76,1.0,4.0,-52.0,0.0,2.0,b'male'
b'07',b'06',b'08',1.0,43.0,3.5,0.61,69.0,0.07,1.0,5.0,-62.0,0.0,4.0,b'male'
b'03',b'02',b'03',1.0,37.0,3.0,-0.62,68.0,-1.03,1.0,4.0,-61.0,0.0,4.0,b'male'
b'03',b'03',b'03',3.0,30.0,3.5,-0.64,70.0,-0.84,1.0,4.0,-63.0,0.0,3.0,b'male'
b'01',b'01',b'01',3.0,34.0,2.8,-1.79,62.0,-1.82,1.0,4.0,-55.0,0.0,3.0,b'male'
b'02',b'01',b'03',6.0,18.0,2.9,-0.7,69.0,-1.4,1.0,3.0,-67.0,0.0,1.0,b'male'
b'08',b'06',b'08',1.0,31.5,3.8,0.66,69.0,0.27,1.0,5.0,-62.0,0.0,4.0,b'female'
b'03',b'02',b'03',3.0,36.0,2.6,-0.63,67.0,-0.96,1.0,4.0,-60.0,0.0,3.0,b'male'
b'06',b'05',b'06',6.0,30.0,2.1,0.18,64.0,-0.17,1.0,2.0,-57.0,0.0,1.0,b'male'
b'05',b'06',b'05',3.0,42.0,2.9,-0.15,66.0,0.22,1.0,2.0,-64.0,0.0,3.0,b'female'
b'04',b'04',b'04',1.0,40.0,3.4,-0.32,68.0,-0.31,1.0,4.0,-61.0,0.0,4.0,b'male'
b'01',b'01',b'01',4.0,35.0,3.0,-1.28,57.0,-1.63,1.0,1.0,-50.0,0.0,5.0,b'female'
b'05',b'04',b'05',3.0,37.0,2.8,-0.09,62.0,-0.52,2.0,3.0,-55.0,1.0,3.0,b'female'
b'10',b'09',b'10',3.0,38.0,3.5,1.4,69.0,1.05,1.0,4.0,-62.0,0.0,3.0,b'female'
b'04',b'05',b'04',5.0,39.5,3.6,-0.38,63.0,-0.15,1.0,4.0,-56.0,0.0,6.0,b'female'
b'06',b'05',b'06',2.0,34.0,3.3,0.18,69.0,-0.31,1.0,4.0,-62.0,0.0,2.0,b'male'
b'10',b'09',b'10',3.0,41.0,4.0,1.45,69.0,1.26,1.0,4.0,-62.0,0.0,3.0,b'female'
b'10',b'09',b'10',4.0,46.0,3.6,1.86,69.0,1.27,1.0,4.0,-62.0,0.0,5.0,b'female'
b'02',b'03',b'02',5.0,44.0,3.5,-1.07,62.0,-0.78,1.0,3.0,-55.0,0.0,6.0,b'male'
b'09',b'09',b'08',5.0,39.0,3.7,0.96,69.0,1.09,1.0,3.0,-62.0,0.0,6.0,b'male'
b'08',b'09',b'09',1.0,39.0,2.9,0.89,66.0,1.24,1.0,3.0,-59.0,0.0,4.0,b'female'
b'03',b'03',b'03',5.0,43.0,3.5,-0.6,69.0,-0.57,1.0,4.0,-62.0,0.0,6.0,b'male'
b'08',b'07',b'08',5.0,39.0,3.0,0.72,64.0,0.36,1.0,3.0,-57.0,0.0,6.0,b'male'
b'04',b'05',b'05',1.0,37.0,3.3,-0.21,68.0,-0.18,1.0,4.0,-61.0,0.0,4.0,b'female'
b'04',b'04',b'04',3.0,45.0,3.5,-0.38,68.0,-0.35,1.0,4.0,-66.0,0.0,3.0,b'male'
b'05',b'04',b'05',2.0,33.0,3.4,-0.05,68.0,-0.53,1.0,3.0,-61.0,0.0,2.0,b'female'
b'10',b'09',b'10',4.0,35.0,3.0,1.73,68.0,1.22,1.0,3.0,-61.0,0.0,5.0,b'male'
b'07',b'07',b'07',2.0,28.5,2.9,0.41,59.0,0.35,1.0,3.0,-52.0,0.0,2.0,b'female'
b'07',b'06',b'07',3.0,36.0,3.1,0.5,66.0,0.16,1.0,2.0,-59.0,0.0,3.0,b'female'
b'10',b'10',b'10',4.0,33.0,3.3,2.15,69.0,2.08,1.0,4.0,-62.0,0.0,5.0,b'male'
b'06',b'05',b'06',3.0,37.0,2.9,0.15,69.0,-0.2,1.0,3.0,-63.0,0.0,3.0,b'male'
b'09',b'10',b'09',1.0,40.0,3.4,1.11,68.0,1.37,1.0,2.0,-61.0,0.0,4.0,b'male'
b'02',b'02',b'03',3.0,26.0,3.3,-0.75,65.0,-1.13,1.0,2.0,-58.0,0.0,3.0,b'male'
b'02',b'03',b'02',3.0,30.0,3.4,-0.98,55.0,-0.67,2.0,3.0,-48.0,1.0,3.0,b'male'
b'06',b'06',b'06',4.0,32.0,3.2,0.11,66.0,0.18,1.0,3.0,-64.0,0.0,5.0,b'female'
b'05',b'03',b'05',3.0,36.0,3.3,-0.1,69.0,-0.65,1.0,3.0,-62.0,0.0,3.0,b'male'
b'01',b'02',b'01',4.0,36.0,3.2,-1.56,65.0,-1.27,1.0,3.0,-58.0,0.0,5.0,b'male'
b'03',b'03',b'03',4.0,40.0,3.0,-0.61,57.0,-0.61,1.0,3.0,-50.0,0.0,5.0,b'male'
b'01',b'01',b'01',3.0,34.0,2.6,-1.46,69.0,-1.73,1.0,4.0,-67.0,0.0,3.0,b'male'
b'02',b'01',b'03',2.0,33.0,3.0,-0.84,59.0,-1.41,1.0,3.0,-52.0,0.0,2.0,b'male'
b'03',b'02',b'03',3.0,37.0,2.9,-0.7,67.0,-1.26,1.0,3.0,-60.0,0.0,3.0,b'female'
b'04',b'06',b'04',4.0,35.0,3.1,-0.4,69.0,0.1,2.0,4.0,-62.0,1.0,5.0,b'male'
b'07',b'07',b'07',3.0,40.0,3.0,0.34,68.0,0.33,1.0,3.0,-61.0,0.0,3.0,b'male'
b'02',b'05',b'02',3.0,37.0,3.4,-0.92,69.0,-0.16,1.0,4.0,-62.0,0.0,3.0,b'female'
b'01',b'01',b'01',3.0,24.0,3.1,-1.43,68.0,-1.54,1.0,4.0,-61.0,0.0,3.0,b'female'
b'01',b'01',b'01',3.0,19.5,3.1,-1.54,62.0,-2.84,1.0,2.0,-55.0,0.0,3.0,b'female'
b'08',b'02',b'08',3.0,35.0,2.9,0.73,65.0,-1.07,1.0,4.0,-63.0,0.0,3.0,b'female'
b'09',b'09',b'10',1.0,32.0,3.4,1.3,67.0,1.24,1.0,4.0,-65.0,0.0,4.0,b'male'
b'06',b'05',b'06',4.0,36.0,3.2,0.25,69.0,-0.19,1.0,4.0,-62.0,0.0,5.0,b'female'
b'03',b'02',b'03',4.0,44.0,4.0,-0.72,70.0,-1.05,1.0,3.0,-63.0,0.0,5.0,b'male'
b'10',b'10',b'10',1.0,45.0,3.3,1.9,63.0,1.76,1.0,3.0,-56.0,0.0,4.0,b'male'
b'05',b'04',b'05',6.0,18.0,3.0,-0.04,59.0,-0.56,1.0,3.0,-52.0,0.0,1.0,b'female'
b'07',b'09',b'07',4.0,42.0,3.9,0.54,69.0,1.08,1.0,4.0,-62.0,0.0,5.0,b'male'
b'08',b'08',b'08',4.0,35.0,3.7,0.76,69.0,0.69,1.0,4.0,-62.0,0.0,5.0,b'female'
b'02',b'03',b'03',3.0,35.0,2.9,-0.8,67.0,-0.82,1.0,4.0,-60.0,0.0,3.0,b'male'
b'03',b'03',b'03',5.0,35.0,3.2,-0.66,66.0,-0.75,1.0,2.0,-59.0,0.0,6.0,b'female'
b'10',b'10',b'10',3.0,33.0,3.3,1.51,64.0,1.57,1.0,4.0,-57.0,0.0,3.0,b'female'
b'01',b'01',b'01',3.0,27.0,3.6,-1.39,68.0,-1.35,1.0,3.0,-61.0,0.0,3.0,b'female'
b'05',b'06',b'05',5.0,46.0,3.6,-0.14,68.0,0.14,1.0,5.0,-61.0,0.0,6.0,b'female'
b'04',b'06',b'05',1.0,38.0,3.9,-0.2,69.0,0.22,1.0,3.0,-62.0,0.0,4.0,b'female'
b'07',b'09',b'07',4.0,40.0,2.7,0.37,60.0,0.98,1.0,4.0,-53.0,0.0,5.0,b'female'
b'10',b'10',b'10',1.0,38.0,3.9,2.41,60.0,2.25,2.0,4.0,-58.0,1.0,4.0,b'female'
b'02',b'02',b'03',1.0,35.0,3.4,-0.75,69.0,-1.09,1.0,5.0,-62.0,0.0,4.0,b'female'
b'06',b'05',b'06',1.0,36.0,3.4,0.25,69.0,-0.12,1.0,4.0,-62.0,0.0,4.0,b'female'
b'10',b'08',b'10',4.0,39.0,2.6,1.68,63.0,0.76,2.0,3.0,-56.0,1.0,5.0,b'male'
b'05',b'03',b'05',3.0,38.0,3.5,-0.07,51.0,-0.62,1.0,3.0,-49.0,0.0,3.0,b'male'
b'08',b'09',b'08',5.0,43.0,3.8,0.78,70.0,0.91,1.0,4.0,-63.0,0.0,6.0,b'male'
b'08',b'09',b'08',1.0,42.0,3.6,0.78,69.0,0.93,1.0,3.0,-62.0,0.0,4.0,b'male'
b'03',b'05',b'03',3.0,36.0,2.7,-0.68,63.0,-0.28,1.0,3.0,-56.0,0.0,3.0,b'female'
b'10',b'10',b'10',3.0,37.0,3.0,1.59,54.0,1.67,1.0,4.0,-52.0,0.0,3.0,b'male'
b'01',b'01',b'01',1.0,31.0,2.8,-2.17,54.0,-2.41,1.0,2.0,-47.0,0.0,4.0,b'male'
b'08',b'07',b'08',3.0,41.0,3.5,0.58,69.0,0.45,1.0,4.0,-62.0,0.0,3.0,b'female'
b'01',b'02',b'01',5.0,28.0,3.6,-1.36,69.0,-0.89,1.0,4.0,-62.0,0.0,6.0,b'male'
b'05',b'06',b'05',5.0,45.0,3.3,-0.07,69.0,0.13,1.0,4.0,-62.0,0.0,6.0,b'male'
b'07',b'06',b'07',1.0,39.5,3.2,0.5,68.0,0.08,1.0,4.0,-61.0,0.0,4.0,b'female'
b'05',b'05',b'06',4.0,37.5,3.7,0.05,59.0,-0.06,1.0,4.0,-52.0,0.0,5.0,b'male'
b'08',b'07',b'08',3.0,33.0,3.3,0.72,65.0,0.31,1.0,3.0,-58.0,0.0,3.0,b'female'
b'05',b'03',b'05',1.0,43.0,2.6,-0.02,68.0,-0.57,1.0,4.0,-61.0,0.0,4.0,b'male'
b'09',b'08',b'09',3.0,40.0,3.4,1.17,68.0,0.74,1.0,5.0,-61.0,0.0,3.0,b'male'
b'04',b'05',b'04',1.0,40.0,3.2,-0.4,69.0,-0.04,1.0,4.0,-62.0,0.0,4.0,b'female'
b'09',b'09',b'09',1.0,42.0,3.0,1.0,54.0,1.02,1.0,3.0,-47.0,0.0,4.0,b'male'
b'04',b'07',b'05',3.0,31.0,3.6,-0.21,69.0,0.33,1.0,3.0,-67.0,0.0,3.0,b'female'
b'02',b'01',b'02',5.0,33.0,2.7,-1.1,64.0,-1.58,1.0,5.0,-57.0,0.0,6.0,b'female'
b'05',b'04',b'05',4.0,37.0,3.4,-0.02,62.0,-0.32,1.0,4.0,-55.0,0.0,5.0,b'male'
b'10',b'10',b'10',4.0,42.0,3.8,2.23,63.0,2.57,1.0,5.0,-56.0,0.0,5.0,b'female'
b'01',b'01',b'02',3.0,39.0,2.8,-1.12,67.0,-1.6,1.0,3.0,-65.0,0.0,3.0,b'male'
b'06',b'08',b'06',1.0,40.0,2.7,0.22,61.0,0.74,1.0,4.0,-54.0,0.0,4.0,b'male'
b'02',b'01',b'02',3.0,39.5,1.7,-0.94,61.0,-1.42,1.0,4.0,-54.0,0.0,3.0,b'female'
b'06',b'05',b'07',2.0,32.5,3.0,0.23,68.0,-0.24,1.0,4.0,-61.0,0.0,2.0,b'female'
b'02',b'03',b'02',1.0,35.0,3.8,-1.03,69.0,-0.58,1.0,4.0,-67.0,0.0,4.0,b'female'
b'01',b'01',b'01',3.0,34.0,3.3,-1.44,65.0,-1.87,1.0,3.0,-58.0,0.0,3.0,b'female'
b'06',b'06',b'06',5.0,39.0,3.7,0.09,66.0,0.09,1.0,3.0,-59.0,0.0,6.0,b'female'
b'09',b'07',b'09',3.0,40.0,2.9,1.14,66.0,0.49,1.0,4.0,-59.0,0.0,3.0,b'male'
b'02',b'04',b'02',1.0,37.0,3.5,-0.82,68.0,-0.52,1.0,3.0,-61.0,0.0,4.0,b'male'
b'06',b'07',b'06',3.0,36.0,2.6,0.09,63.0,0.37,1.0,4.0,-56.0,0.0,3.0,b'female'
b'05',b'07',b'05',3.0,34.0,3.0,-0.05,68.0,0.28,1.0,4.0,-61.0,0.0,3.0,b'male'
b'03',b'04',b'03',4.0,30.0,3.7,-0.64,66.0,-0.51,1.0,3.0,-59.0,0.0,5.0,b'female'
b'05',b'07',b'05',1.0,33.0,3.6,0.0,66.0,0.55,1.0,4.0,-64.0,0.0,4.0,b'male'
b'04',b'03',b'04',1.0,25.0,3.5,-0.26,62.0,-0.77,1.0,5.0,-60.0,0.0,4.0,b'female'
b'06',b'04',b'07',2.0,30.0,3.8,0.22,69.0,-0.47,1.0,4.0,-62.0,0.0,2.0,b'male'
b'04',b'04',b'05',1.0,40.0,3.5,-0.22,69.0,-0.37,1.0,3.0,-62.0,0.0,4.0,b'female'
b'05',b'06',b'05',1.0,39.0,3.3,-0.06,64.0,0.05,1.0,4.0,-57.0,0.0,4.0,b'male'
b'02',b'02',b'03',4.0,34.5,3.1,-0.8,67.0,-1.2,1.0,4.0,-60.0,0.0,5.0,b'male'
b'05',b'06',b'05',1.0,40.0,3.5,0.04,67.0,0.16,1.0,3.0,-60.0,0.0,4.0,b'female'
b'04',b'04',b'04',1.0,31.5,3.4,-0.37,65.0,-0.42,1.0,3.0,-58.0,0.0,4.0,b'female'
b'04',b'03',b'04',4.0,26.0,2.8,-0.38,65.0,-0.73,1.0,5.0,-58.0,0.0,5.0,b'male'
b'02',b'02',b'02',1.0,33.0,3.5,-0.95,68.0,-1.09,1.0,4.0,-61.0,0.0,4.0,b'male'
b'03',b'02',b'03',1.0,38.0,3.7,-0.51,67.0,-0.92,1.0,2.0,-60.0,0.0,4.0,b'male'
b'03',b'02',b'03',3.0,27.5,3.0,-0.52,68.0,-1.07,1.0,3.0,-61.0,0.0,3.0,b'male'
b'09',b'10',b'09',3.0,42.0,3.0,1.19,67.0,1.48,1.0,3.0,-60.0,0.0,3.0,b'male'
b'01',b'01',b'01',4.0,32.0,2.7,-1.31,67.0,-1.73,1.0,1.0,-60.0,0.0,5.0,b'male'
b'05',b'06',b'05',1.0,33.0,4.0,-0.01,58.0,0.22,1.0,2.0,-51.0,0.0,4.0,b'female'
b'05',b'05',b'05',2.0,34.0,2.4,-0.1,65.0,-0.21,1.0,4.0,-63.0,0.0,2.0,b'male'
b'10',b'10',b'10',1.0,47.0,3.7,2.23,57.0,2.09,1.0,3.0,-50.0,0.0,4.0,b'female'
b'06',b'08',b'07',3.0,38.0,3.7,0.29,68.0,0.58,1.0,4.0,-61.0,0.0,3.0,b'male'
b'04',b'06',b'04',4.0,45.0,3.6,-0.25,67.0,0.04,1.0,4.0,-60.0,0.0,5.0,b'female'
b'07',b'05',b'07',2.0,34.0,2.9,0.39,65.0,-0.17,1.0,4.0,-63.0,0.0,2.0,b'male'
b'02',b'01',b'02',4.0,40.5,3.6,-1.12,69.0,-1.4,1.0,4.0,-62.0,0.0,5.0,b'male'
b'07',b'07',b'07',3.0,40.0,2.6,0.39,67.0,0.38,1.0,4.0,-60.0,0.0,3.0,b'male'
b'08',b'07',b'08',1.0,36.0,3.6,0.69,68.0,0.36,1.0,5.0,-61.0,0.0,4.0,b'male'
b'08',b'09',b'08',4.0,31.5,3.5,0.6,66.0,1.03,1.0,4.0,-59.0,0.0,5.0,b'female'
b'03',b'04',b'03',4.0,33.0,3.5,-0.57,69.0,-0.36,1.0,3.0,-62.0,0.0,5.0,b'female'
b'03',b'04',b'03',2.0,27.0,3.2,-0.7,66.0,-0.37,1.0,4.0,-59.0,0.0,2.0,b'female'
b'10',b'10',b'10',3.0,43.0,3.5,2.32,67.0,2.33,1.0,4.0,-60.0,0.0,3.0,b'male'
b'04',b'03',b'04',3.0,37.5,2.7,-0.28,67.0,-0.64,2.0,4.0,-60.0,1.0,3.0,b'female'
b'07',b'05',b'08',4.0,45.0,3.7,0.55,69.0,-0.23,1.0,3.0,-62.0,0.0,5.0,b'male'
b'06',b'07',b'07',3.0,34.0,2.8,0.26,69.0,0.32,1.0,4.0,-62.0,0.0,3.0,b'male'
b'05',b'04',b'06',3.0,35.0,3.2,0.0,68.0,-0.55,1.0,2.0,-61.0,0.0,3.0,b'female'
b'01',b'01',b'01',2.0,24.7,2.6,-1.54,63.0,-1.43,1.0,3.0,-61.0,0.0,2.0,b'female'
b'07',b'07',b'07',3.0,33.5,2.8,0.39,64.0,0.36,1.0,4.0,-57.0,0.0,3.0,b'male'
b'08',b'07',b'08',1.0,33.0,3.2,0.7,69.0,0.44,1.0,3.0,-62.0,0.0,4.0,b'female'
b'03',b'04',b'03',3.0,32.0,2.9,-0.63,67.0,-0.45,1.0,3.0,-60.0,0.0,3.0,b'male'
b'04',b'03',b'04',4.0,41.0,4.0,-0.32,67.0,-0.8,1.0,4.0,-60.0,0.0,5.0,b'male'
b'07',b'08',b'07',3.0,39.0,3.5,0.39,66.0,0.61,1.0,4.0,-59.0,0.0,3.0,b'female'
b'01',b'01',b'01',3.0,28.0,2.9,-1.4,69.0,-1.73,1.0,4.0,-62.0,0.0,3.0,b'female'
b'07',b'06',b'07',3.0,39.0,2.4,0.51,67.0,0.24,1.0,5.0,-60.0,0.0,3.0,b'male'
