workclass,education,education-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,sex
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,63,United-States,Female
Private,HS-grad,9,Separated,Other-service,Unmarried,0,0,28,United-States,Female
Local-gov,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,4650,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,0,0,40,United-States,Female
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,40,United-States,Male
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,7688,0,45,United-States,Male
Private,HS-grad,9,Separated,Sales,Not-in-family,0,0,35,United-States,Female
Private,Bachelors,13,Never-married,Adm-clerical,Unmarried,0,0,40,United-States,Female
Self-emp-not-inc,HS-grad,9,Divorced,Sales,Unmarried,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,0,0,40,United-States,Female
State-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,0,0,40,United-States,Male
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,11th,7,Never-married,Sales,Own-child,0,0,20,United-States,Female
Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Own-child,0,0,3,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Divorced,Sales,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,7298,0,42,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,0,1977,50,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Germany,Male
Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Tech-support,Own-child,0,0,50,United-States,Male
Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,0,0,40,Columbia,Female
Self-emp-not-inc,10th,6,Married-civ-spouse,Craft-repair,Husband,0,0,50,United-States,Male
Private,Some-college,10,Never-married,Sales,Not-in-family,0,0,40,United-States,Male
Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Not-in-family,0,0,40,United-States,Male
Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Own-child,0,0,20,United-States,Male
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,60,United-States,Male
Private,Some-college,10,Never-married,Other-service,Own-child,0,0,25,United-States,Female
Private,Assoc-voc,11,Married-civ-spouse,Other-service,Other-relative,3137,0,40,United-States,Female
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,0,0,25,United-States,Female
Private,Some-college,10,Never-married,Craft-repair,Own-child,0,0,40,United-States,Male
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,0,0,50,United-States,Male
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,3781,0,40,United-States,Male
Private,HS-grad,9,Widowed,Craft-repair,Unmarried,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,Male
State-gov,HS-grad,9,Widowed,Adm-clerical,Not-in-family,0,0,24,United-States,Female
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,15024,0,80,United-States,Male
Self-emp-not-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,52,United-States,Female
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,0,0,10,United-States,Female
Private,10th,6,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,Female
Private,Bachelors,13,Never-married,Tech-support,Own-child,0,0,40,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,0,0,49,United-States,Male
Self-emp-inc,Assoc-acdm,12,Never-married,Sales,Not-in-family,0,0,25,United-States,Female
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,32,United-States,Female
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,30,United-States,Male
Local-gov,Prof-school,15,Separated,Prof-specialty,Own-child,0,0,40,United-States,Female
Private,Some-college,10,Divorced,Sales,Unmarried,0,0,40,Peru,Female
Private,Some-college,10,Never-married,Sales,Own-child,0,1876,60,United-States,Male
State-gov,HS-grad,9,Divorced,Exec-managerial,Unmarried,0,0,44,United-States,Female
Self-emp-not-inc,10th,6,Never-married,Other-service,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,Male
Private,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,0,0,40,Guatemala,Male
Private,12th,8,Married-civ-spouse,Craft-repair,Husband,0,0,45,United-States,Male
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Wife,0,0,25,United-States,Female
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,46,United-States,Male
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,0,0,30,United-States,Male
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,HS-grad,9,Widowed,Other-service,Unmarried,0,0,40,United-States,Female
Private,Bachelors,13,Never-married,Sales,Not-in-family,0,0,50,United-States,Male
Private,Some-college,10,Never-married,Adm-clerical,Own-child,0,0,40,United-States,Female
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Private,HS-grad,9,Married-AF-spouse,Other-service,Other-relative,0,0,10,United-States,Female
Private,12th,8,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Other-service,Not-in-family,0,0,45,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,0,0,50,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,45,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,0,0,35,United-States,Male
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,30,United-States,Female
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,50,United-States,Male
Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,0,0,35,United-States,Male
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,0,60,United-States,Female
Private,12th,8,Never-married,Transport-moving,Not-in-family,0,0,40,United-States,Male
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,0,0,15,United-States,Male
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,25,United-States,Male
Private,Bachelors,13,Separated,Prof-specialty,Unmarried,0,0,40,United-States,Male
State-gov,Masters,14,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,11th,7,Never-married,Other-service,Own-child,0,0,7,United-States,Male
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,Female
Private,Masters,14,Never-married,Prof-specialty,Own-child,0,0,44,United-States,Male
Private,9th,5,Never-married,Machine-op-inspct,Not-in-family,0,0,20,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,3137,0,35,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,40,Mexico,Male
Private,9th,5,Married-civ-spouse,Farming-fishing,Husband,0,0,40,United-States,Male
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Mexico,Male
Private,Bachelors,13,Never-married,Other-service,Other-relative,0,0,20,United-States,Male
State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,7298,0,40,United-States,Female
Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,36,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,0,1651,40,United-States,Male
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,0,0,20,United-States,Female
Private,12th,8,Never-married,Other-service,Own-child,0,0,25,United-States,Male
Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,20,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Private,Some-college,10,Never-married,Craft-repair,Other-relative,0,0,55,Ecuador,Male
Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,0,0,57,United-States,Female
Private,1st-4th,2,Never-married,Priv-house-serv,Not-in-family,0,0,40,Guatemala,Female
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,0,0,38,United-States,Male
Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,28,United-States,Male
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,Male
Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,0,0,40,Mexico,Male
Private,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,0,0,38,United-States,Female
Private,11th,7,Never-married,Priv-house-serv,Own-child,0,0,24,United-States,Female
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,0,0,40,United-States,Male
State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,0,0,50,United-States,Female
Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Other-service,Unmarried,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,70,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,7th-8th,4,Widowed,Priv-house-serv,Unmarried,0,0,23,United-States,Female
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,48,United-States,Male
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Local-gov,HS-grad,9,Never-married,Prof-specialty,Unmarried,0,0,35,United-States,Female
Local-gov,Masters,14,Never-married,Exec-managerial,Other-relative,15831,0,72,United-States,Female
Local-gov,HS-grad,9,Never-married,Other-service,Not-in-family,0,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Doctorate,16,Divorced,Sales,Not-in-family,0,0,64,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,45,United-States,Male
Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,0,0,43,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,7298,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Other-relative,0,0,44,Poland,Female
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40,El-Salvador,Male
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,2907,0,40,Nicaragua,Female
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,43,United-States,Female
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,Male
Private,5th-6th,3,Never-married,Sales,Own-child,0,0,20,Vietnam,Female
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Other-service,Own-child,0,0,25,United-States,Male
Private,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,5556,0,40,Yugoslavia,Male
Self-emp-not-inc,10th,6,Married-civ-spouse,Other-service,Wife,2635,0,40,United-States,Female
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,5178,0,40,United-States,Male
Private,10th,6,Never-married,Other-service,Unmarried,0,0,38,Peru,Female
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,Female
Federal-gov,HS-grad,9,Widowed,Exec-managerial,Not-in-family,0,0,9,United-States,Male
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,1902,40,United-States,Female
Private,HS-grad,9,Widowed,Adm-clerical,Unmarried,0,0,40,United-States,Female
State-gov,Masters,14,Never-married,Prof-specialty,Own-child,0,0,35,United-States,Female
State-gov,Some-college,10,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,Female
Local-gov,Some-college,10,Divorced,Other-service,Unmarried,0,0,45,United-States,Female
Local-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,Bachelors,13,Never-married,Sales,Own-child,0,0,40,United-States,Male
Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,0,0,38,United-States,Female
Self-emp-not-inc,12th,8,Married-civ-spouse,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,0,0,56,Mexico,Male
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,0,0,35,United-States,Male
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,0,0,25,United-States,Male
Private,Some-college,10,Never-married,Exec-managerial,Own-child,0,0,40,United-States,Male
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,26,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,0,0,41,United-States,Male
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Private,HS-grad,9,Divorced,Sales,Unmarried,0,0,45,United-States,Female
Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,Male
Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,Male
Private,10th,6,Never-married,Sales,Own-child,0,0,20,United-States,Female
Private,11th,7,Divorced,Handlers-cleaners,Not-in-family,0,0,43,United-States,Male
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,0,0,30,United-States,Female
Private,Assoc-acdm,12,Never-married,Other-service,Own-child,0,0,20,United-States,Female
Private,Some-college,10,Never-married,Prof-specialty,Unmarried,4650,0,20,United-States,Male
Private,Bachelors,13,Never-married,Transport-moving,Not-in-family,4865,0,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,45,Jamaica,Male
Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,2407,0,40,United-States,Male
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,7688,0,70,United-States,Male
Private,11th,7,Never-married,Transport-moving,Unmarried,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,0,0,40,United-States,Male
Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,0,0,45,United-States,Male
Self-emp-not-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,0,0,50,United-States,Male
Private,Some-college,10,Divorced,Sales,Unmarried,0,0,40,United-States,Female
State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,35,United-States,Male
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,Germany,Male
Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,42,United-States,Male
Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,Male
Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,594,0,20,Mexico,Female
Private,HS-grad,9,Never-married,Sales,Unmarried,0,0,58,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,1902,32,United-States,Female
Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,50,United-States,Male
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,48,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,0,0,60,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,0,0,27,United-States,Male
Self-emp-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,0,1887,40,United-States,Male
Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,0,0,40,United-States,Female
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,0,0,40,United-States,Female
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,3103,0,40,United-States,Male
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,55,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,42,United-States,Male
Self-emp-not-inc,Assoc-voc,11,Never-married,Craft-repair,Own-child,0,0,60,United-States,Male
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,0,0,60,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,0,0,50,United-States,Male
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,2392,40,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Private,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,0,0,40,Philippines,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,72,United-States,Male
Private,Bachelors,13,Separated,Tech-support,Not-in-family,0,0,40,Philippines,Male
Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,7298,0,45,United-States,Male
Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,0,0,35,United-States,Female
Private,Bachelors,13,Never-married,Other-service,Not-in-family,0,0,50,United-States,Female
Private,Some-college,10,Never-married,Sales,Own-child,0,0,20,United-States,Female
Private,10th,6,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Self-emp-not-inc,HS-grad,9,Widowed,Adm-clerical,Other-relative,0,0,30,United-States,Female
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Unmarried,0,0,40,United-States,Female
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,70,United-States,Male
Private,5th-6th,3,Never-married,Craft-repair,Not-in-family,0,0,40,Columbia,Male
Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,0,0,40,United-States,Female
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,35,United-States,Male
Private,HS-grad,9,Divorced,Sales,Unmarried,0,0,25,Canada,Female
Private,10th,6,Separated,Machine-op-inspct,Not-in-family,0,0,28,Peru,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,Male
Private,Bachelors,13,Never-married,Other-service,Not-in-family,0,0,21,Japan,Female
Private,HS-grad,9,Never-married,Sales,Own-child,0,0,35,United-States,Female
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,50,United-States,Male
Private,9th,5,Married-civ-spouse,Craft-repair,Husband,0,0,44,United-States,Male
Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Some-college,10,Divorced,Other-service,Not-in-family,0,1721,55,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,0,1887,40,Trinadad&Tobago,Male
Private,10th,6,Never-married,Other-service,Unmarried,0,0,60,Mexico,Male
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,38,United-States,Female
Private,HS-grad,9,Never-married,Prof-specialty,Own-child,0,0,40,United-States,Male
Private,12th,8,Never-married,Priv-house-serv,Own-child,0,0,30,United-States,Male
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,Male
Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,0,0,25,United-States,Female
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,45,Japan,Male
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,48,United-States,Male
Private,11th,7,Never-married,Machine-op-inspct,Not-in-family,0,0,25,United-States,Female
Private,Some-college,10,Divorced,Adm-clerical,Other-relative,0,0,40,United-States,Female
Private,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,0,0,10,United-States,Male
State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,Female
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,50,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,7688,0,40,United-States,Male
Private,HS-grad,9,Separated,Craft-repair,Unmarried,0,0,40,Mexico,Female
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,Female
Private,9th,5,Widowed,Sales,Not-in-family,0,0,40,United-States,Female
Private,HS-grad,9,Widowed,Adm-clerical,Other-relative,0,0,40,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,Female
Private,HS-grad,9,Divorced,Sales,Not-in-family,0,0,30,United-States,Male
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,50,United-States,Male
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,0,0,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,0,1902,40,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,4,United-States,Male
Private,Some-college,10,Divorced,Sales,Not-in-family,0,0,60,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,42,United-States,Male
Local-gov,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,Mexico,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Private,HS-grad,9,Never-married,Sales,Unmarried,0,0,35,Mexico,Female
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,Male
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,15024,0,50,United-States,Male
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,60,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,55,United-States,Male
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Private,Bachelors,13,Never-married,Sales,Not-in-family,0,0,45,United-States,Male
Private,Bachelors,13,Never-married,Handlers-cleaners,Own-child,0,0,15,United-States,Female
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,36,United-States,Male
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,0,0,21,United-States,Female
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,45,United-States,Female
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,0,0,40,United-States,Female
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,Male
Private,Some-college,10,Married-civ-spouse,Sales,Husband,0,0,40,United-States,Male
Self-emp-not-inc,Some-college,10,Widowed,Exec-managerial,Unmarried,0,0,45,United-States,Female
Private,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,6849,0,40,United-States,Male
Private,5th-6th,3,Never-married,Other-service,Other-relative,0,0,54,Mexico,Male
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,0,0,55,United-States,Male
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,0,40,Guatemala,Female
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,Male
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,5013,0,40,United-States,Male
